Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,Column1
ID1477,27/01/2016 12:40,Jim,Washing Machine,N,N,,,,#ERROR!
ID1478,27/01/2016 12:40,Dan,Air Conditioner,Y,Y,33,0:05:52,5,#ERROR!
ID1475,27/01/2016 11:09,Dan,Air Conditioner,Y,Y,61,0:02:39,3,#ERROR!
ID1476,27/01/2016 11:09,Dan,Television,Y,Y,125,0:06:05,5,#ERROR!
ID1473,27/01/2016 10:43,Jim,Washing Machine,Y,Y,97,0:06:37,4,#ERROR!
ID1474,27/01/2016 10:43,Martha,Washing Machine,Y,Y,75,0:02:50,4,#ERROR!
ID1471,27/01/2016 9:57,Martha,Television,Y,Y,118,0:03:27,4,#ERROR!
ID1472,27/01/2016 9:57,Stewart,Washing Machine,Y,Y,40,0:04:06,4,#ERROR!
ID1469,27/01/2016 9:54,Greg,Toaster,N,N,,,,#ERROR!
ID1470,27/01/2016 9:54,Martha,Washing Machine,Y,Y,36,0:04:21,4,#ERROR!
ID1467,27/01/2016 9:41,Martha,Fridge,Y,Y,86,0:02:52,1,#ERROR!
ID1468,27/01/2016 9:41,Joe,Washing Machine,Y,Y,20,0:04:23,4,#ERROR!
ID1465,27/01/2016 9:38,Becky,Air Conditioner,Y,Y,22,0:04:12,3,#ERROR!
ID1466,27/01/2016 9:38,Greg,Television,N,N,,,,#ERROR!
ID1463,27/01/2016 9:10,Diane,Television,Y,Y,95,0:02:55,3,#ERROR!
ID1464,27/01/2016 9:10,Diane,Washing Machine,Y,Y,13,0:03:14,5,#ERROR!
ID1461,26/01/2016 17:52,Dan,Television,Y,Y,82,0:06:37,1,#ERROR!
ID1462,26/01/2016 17:52,Jim,Air Conditioner,Y,Y,34,0:04:18,2,#ERROR!
ID1459,26/01/2016 17:18,Becky,Washing Machine,Y,Y,38,0:06:58,1,#ERROR!
ID1460,26/01/2016 17:18,Becky,Washing Machine,Y,Y,115,0:06:15,3,#ERROR!
ID1457,26/01/2016 16:06,Becky,Toaster,N,N,,,,#ERROR!
ID1458,26/01/2016 16:06,Greg,Washing Machine,Y,Y,60,0:02:14,3,#ERROR!
ID1455,26/01/2016 16:00,Joe,Toaster,Y,Y,36,0:06:22,3,#ERROR!
ID1456,26/01/2016 16:00,Martha,Toaster,Y,Y,50,0:01:06,4,#ERROR!
ID1453,26/01/2016 15:37,Dan,Toaster,Y,Y,19,0:05:37,1,#ERROR!
ID1454,26/01/2016 15:37,Dan,Washing Machine,Y,Y,68,0:02:44,3,#ERROR!
ID1451,26/01/2016 15:30,Diane,Washing Machine,Y,Y,94,0:00:46,4,#ERROR!
ID1452,26/01/2016 15:30,Dan,Toaster,N,N,,,,#ERROR!
ID1449,26/01/2016 15:28,Greg,Fridge,Y,Y,87,0:01:04,5,#ERROR!
ID1450,26/01/2016 15:28,Jim,Television,Y,Y,119,0:00:43,4,#ERROR!
ID1447,26/01/2016 15:25,Dan,Washing Machine,Y,Y,24,0:03:29,4,#ERROR!
ID1448,26/01/2016 15:25,Diane,Toaster,Y,Y,125,0:01:22,5,#ERROR!
ID1445,26/01/2016 15:21,Martha,Television,Y,Y,82,0:02:18,2,#ERROR!
ID1446,26/01/2016 15:21,Greg,Washing Machine,Y,Y,65,0:02:29,4,#ERROR!
ID1443,26/01/2016 15:15,Diane,Fridge,Y,Y,109,0:00:52,1,#ERROR!
ID1444,26/01/2016 15:15,Martha,Washing Machine,Y,Y,116,0:05:08,3,#ERROR!
ID1441,26/01/2016 14:51,Diane,Fridge,Y,Y,40,0:04:48,3,#ERROR!
ID1442,26/01/2016 14:51,Stewart,Toaster,Y,Y,110,0:05:20,3,#ERROR!
ID1439,26/01/2016 14:26,Diane,Fridge,Y,Y,65,0:06:42,5,#ERROR!
ID1440,26/01/2016 14:26,Becky,Air Conditioner,Y,Y,99,0:05:42,3,#ERROR!
ID1437,26/01/2016 14:18,Jim,Television,Y,Y,77,0:04:26,2,#ERROR!
ID1438,26/01/2016 14:18,Greg,Washing Machine,Y,Y,56,0:03:44,4,#ERROR!
ID1435,26/01/2016 14:08,Jim,Television,Y,Y,61,0:04:47,5,#ERROR!
ID1436,26/01/2016 14:08,Stewart,Television,N,N,,,,#ERROR!
ID1431,26/01/2016 13:04,Dan,Television,Y,Y,57,0:01:30,3,#ERROR!
ID1432,26/01/2016 13:04,Diane,Television,Y,Y,110,0:05:17,2,#ERROR!
ID1433,26/01/2016 13:04,Dan,Air Conditioner,Y,Y,103,0:02:51,4,#ERROR!
ID1434,26/01/2016 13:04,Jim,Air Conditioner,Y,Y,94,0:06:12,5,#ERROR!
ID1429,26/01/2016 12:56,Stewart,Television,Y,Y,115,0:02:27,3,#ERROR!
ID1430,26/01/2016 12:56,Stewart,Toaster,Y,Y,28,0:04:37,4,#ERROR!
ID1427,26/01/2016 12:50,Dan,Fridge,Y,Y,66,0:00:44,3,#ERROR!
ID1428,26/01/2016 12:50,Greg,Air Conditioner,Y,Y,120,0:04:21,5,#ERROR!
ID1425,26/01/2016 12:48,Diane,Television,Y,Y,106,0:01:52,3,#ERROR!
ID1426,26/01/2016 12:48,Becky,Television,N,N,,,,#ERROR!
ID1423,26/01/2016 11:47,Diane,Television,Y,Y,39,0:03:52,5,#ERROR!
ID1424,26/01/2016 11:47,Diane,Washing Machine,Y,Y,78,0:06:35,4,#ERROR!
ID1421,26/01/2016 11:19,Joe,Fridge,N,N,,,,#ERROR!
ID1422,26/01/2016 11:19,Dan,Toaster,Y,Y,68,0:05:16,3,#ERROR!
ID1419,26/01/2016 10:59,Dan,Toaster,Y,Y,68,0:06:48,5,#ERROR!
ID1420,26/01/2016 10:59,Dan,Television,Y,Y,50,0:02:46,4,#ERROR!
ID1417,26/01/2016 10:52,Becky,Washing Machine,Y,Y,16,0:03:35,1,#ERROR!
ID1418,26/01/2016 10:52,Becky,Air Conditioner,Y,Y,77,0:01:42,3,#ERROR!
ID1415,26/01/2016 10:50,Diane,Toaster,Y,Y,72,0:01:31,3,#ERROR!
ID1416,26/01/2016 10:50,Stewart,Television,Y,Y,53,0:05:52,5,#ERROR!
ID1413,26/01/2016 10:40,Diane,Washing Machine,Y,Y,57,0:05:29,2,#ERROR!
ID1414,26/01/2016 10:40,Stewart,Toaster,N,N,,,,#ERROR!
ID1411,26/01/2016 10:27,Diane,Washing Machine,Y,Y,103,0:02:31,3,#ERROR!
ID1412,26/01/2016 10:27,Diane,Washing Machine,Y,Y,68,0:02:18,3,#ERROR!
ID1409,26/01/2016 9:51,Stewart,Air Conditioner,N,N,,,,#ERROR!
ID1410,26/01/2016 9:51,Jim,Toaster,Y,Y,79,0:02:50,3,#ERROR!
ID1407,26/01/2016 9:41,Jim,Fridge,Y,N,41,0:03:26,4,#ERROR!
ID1408,26/01/2016 9:41,Becky,Toaster,Y,Y,13,0:03:53,3,#ERROR!
ID1405,26/01/2016 9:30,Dan,Toaster,Y,Y,113,0:00:51,5,#ERROR!
ID1406,26/01/2016 9:30,Greg,Fridge,Y,Y,84,0:01:17,3,#ERROR!
ID1403,26/01/2016 9:05,Becky,Washing Machine,Y,Y,86,0:01:02,4,#ERROR!
ID1404,26/01/2016 9:05,Martha,Washing Machine,Y,Y,63,0:02:25,4,#ERROR!
ID1401,25/01/2016 17:32,Diane,Toaster,Y,Y,19,0:06:38,5,#ERROR!
ID1402,25/01/2016 17:32,Stewart,Washing Machine,Y,Y,76,0:05:44,5,#ERROR!
ID1399,25/01/2016 16:13,Becky,Television,Y,Y,109,0:05:46,3,#ERROR!
ID1400,25/01/2016 16:13,Martha,Fridge,Y,Y,13,0:01:09,3,#ERROR!
ID1397,25/01/2016 15:53,Greg,Fridge,Y,Y,31,0:04:53,3,#ERROR!
ID1398,25/01/2016 15:53,Joe,Fridge,Y,Y,41,0:05:02,5,#ERROR!
ID1395,25/01/2016 15:51,Diane,Fridge,Y,Y,44,0:05:57,5,#ERROR!
ID1396,25/01/2016 15:51,Becky,Washing Machine,N,N,,,,#ERROR!
ID1393,25/01/2016 15:20,Dan,Television,Y,Y,53,0:03:48,3,#ERROR!
ID1394,25/01/2016 15:20,Joe,Air Conditioner,Y,Y,106,0:06:35,1,#ERROR!
ID1391,25/01/2016 15:05,Becky,Toaster,N,N,,,,#ERROR!
ID1392,25/01/2016 15:05,Martha,Television,Y,Y,50,0:00:32,3,#ERROR!
ID1389,25/01/2016 15:04,Dan,Washing Machine,Y,Y,78,0:05:10,4,#ERROR!
ID1390,25/01/2016 15:04,Stewart,Television,Y,Y,15,0:02:10,3,#ERROR!
ID1387,25/01/2016 14:34,Becky,Toaster,Y,Y,111,0:06:03,3,#ERROR!
ID1388,25/01/2016 14:34,Joe,Fridge,Y,Y,56,0:03:18,3,#ERROR!
ID1385,25/01/2016 14:26,Joe,Toaster,Y,Y,106,0:00:54,3,#ERROR!
ID1386,25/01/2016 14:26,Joe,Air Conditioner,N,N,,,,#ERROR!
ID1383,25/01/2016 14:12,Diane,Television,N,N,,,,#ERROR!
ID1384,25/01/2016 14:12,Martha,Washing Machine,Y,Y,108,0:06:36,3,#ERROR!
ID1379,25/01/2016 14:11,Becky,Washing Machine,Y,Y,54,0:04:11,3,#ERROR!
ID1380,25/01/2016 14:11,Joe,Television,Y,Y,94,0:05:03,2,#ERROR!
ID1381,25/01/2016 14:11,Becky,Television,N,N,,,,#ERROR!
ID1382,25/01/2016 14:11,Martha,Television,Y,Y,24,0:04:04,4,#ERROR!
ID1377,25/01/2016 12:53,Dan,Toaster,Y,Y,80,0:06:09,2,#ERROR!
ID1378,25/01/2016 12:53,Jim,Fridge,Y,Y,66,0:06:03,3,#ERROR!
ID1375,25/01/2016 12:43,Jim,Fridge,N,N,,,,#ERROR!
ID1376,25/01/2016 12:43,Stewart,Fridge,Y,Y,43,0:06:30,5,#ERROR!
ID1371,25/01/2016 12:21,Greg,Washing Machine,Y,Y,59,0:05:50,5,#ERROR!
ID1372,25/01/2016 12:21,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1373,25/01/2016 12:21,Becky,Air Conditioner,Y,Y,56,0:01:23,3,#ERROR!
ID1374,25/01/2016 12:21,Greg,Washing Machine,Y,Y,56,0:05:12,3,#ERROR!
ID1369,25/01/2016 12:18,Greg,Toaster,Y,Y,112,0:01:21,4,#ERROR!
ID1370,25/01/2016 12:18,Diane,Toaster,Y,Y,37,0:05:39,4,#ERROR!
ID1367,25/01/2016 12:12,Dan,Fridge,Y,Y,73,0:05:35,3,#ERROR!
ID1368,25/01/2016 12:12,Stewart,Television,N,N,,,,#ERROR!
ID1365,25/01/2016 12:10,Martha,Fridge,Y,Y,93,0:03:11,4,#ERROR!
ID1366,25/01/2016 12:10,Jim,Fridge,N,N,,,,#ERROR!
ID1363,25/01/2016 12:00,Becky,Toaster,Y,Y,29,0:04:49,4,#ERROR!
ID1364,25/01/2016 12:00,Stewart,Air Conditioner,Y,Y,41,0:01:43,1,#ERROR!
ID1359,25/01/2016 11:54,Joe,Washing Machine,Y,Y,72,0:05:31,4,#ERROR!
ID1360,25/01/2016 11:54,Stewart,Toaster,Y,Y,73,0:03:14,4,#ERROR!
ID1361,25/01/2016 11:54,Martha,Toaster,Y,N,105,0:03:05,4,#ERROR!
ID1362,25/01/2016 11:54,Greg,Air Conditioner,Y,Y,75,0:03:45,3,#ERROR!
ID1357,25/01/2016 11:48,Diane,Washing Machine,Y,Y,24,0:04:43,3,#ERROR!
ID1358,25/01/2016 11:48,Stewart,Washing Machine,Y,Y,75,0:01:43,4,#ERROR!
ID1355,25/01/2016 11:42,Greg,Fridge,N,N,,,,#ERROR!
ID1356,25/01/2016 11:42,Greg,Toaster,Y,N,57,0:02:26,3,#ERROR!
ID1353,25/01/2016 11:03,Diane,Air Conditioner,Y,Y,61,0:02:05,5,#ERROR!
ID1354,25/01/2016 11:03,Diane,Air Conditioner,Y,Y,99,0:05:33,5,#ERROR!
ID1351,25/01/2016 10:42,Joe,Television,Y,Y,115,0:05:58,4,#ERROR!
ID1352,25/01/2016 10:42,Dan,Air Conditioner,Y,Y,53,0:06:05,5,#ERROR!
ID1349,25/01/2016 10:27,Diane,Fridge,N,N,,,,#ERROR!
ID1350,25/01/2016 10:27,Joe,Washing Machine,N,N,,,,#ERROR!
ID1347,25/01/2016 10:10,Martha,Washing Machine,Y,Y,102,0:05:13,5,#ERROR!
ID1348,25/01/2016 10:10,Joe,Toaster,Y,N,123,0:00:38,3,#ERROR!
ID1345,25/01/2016 9:37,Stewart,Air Conditioner,Y,Y,19,0:06:23,3,#ERROR!
ID1346,25/01/2016 9:37,Martha,Television,Y,Y,55,0:06:35,3,#ERROR!
ID1343,25/01/2016 9:33,Dan,Air Conditioner,Y,Y,40,0:06:57,3,#ERROR!
ID1344,25/01/2016 9:33,Becky,Toaster,Y,Y,57,0:05:45,4,#ERROR!
ID1341,25/01/2016 9:25,Jim,Television,Y,Y,44,0:06:50,3,#ERROR!
ID1342,25/01/2016 9:25,Jim,Fridge,Y,Y,24,0:03:40,5,#ERROR!
ID1339,25/01/2016 9:15,Dan,Television,Y,Y,76,0:01:32,4,#ERROR!
ID1340,25/01/2016 9:15,Joe,Toaster,Y,Y,104,0:06:36,4,#ERROR!
ID1337,24/01/2016 17:54,Diane,Fridge,Y,Y,22,0:01:46,4,#ERROR!
ID1338,24/01/2016 17:54,Jim,Air Conditioner,Y,Y,10,0:06:13,4,#ERROR!
ID1335,24/01/2016 17:25,Jim,Toaster,Y,Y,17,0:02:35,1,#ERROR!
ID1336,24/01/2016 17:25,Becky,Toaster,Y,Y,116,0:01:17,4,#ERROR!
ID1333,24/01/2016 17:16,Becky,Washing Machine,N,N,,,,#ERROR!
ID1334,24/01/2016 17:16,Greg,Toaster,Y,Y,84,0:06:21,4,#ERROR!
ID1331,24/01/2016 16:45,Greg,Air Conditioner,Y,Y,19,0:02:21,3,#ERROR!
ID1332,24/01/2016 16:45,Stewart,Air Conditioner,Y,Y,47,0:04:26,3,#ERROR!
ID1329,24/01/2016 16:01,Greg,Fridge,Y,Y,68,0:00:43,1,#ERROR!
ID1330,24/01/2016 16:01,Greg,Television,Y,Y,43,0:03:10,3,#ERROR!
ID1327,24/01/2016 15:59,Stewart,Fridge,Y,Y,53,0:06:01,4,#ERROR!
ID1328,24/01/2016 15:59,Joe,Television,Y,Y,37,0:04:49,2,#ERROR!
ID1325,24/01/2016 15:48,Dan,Toaster,Y,Y,116,0:03:39,5,#ERROR!
ID1326,24/01/2016 15:48,Dan,Toaster,Y,Y,14,0:06:11,5,#ERROR!
ID1323,24/01/2016 14:47,Martha,Air Conditioner,Y,Y,96,0:04:30,2,#ERROR!
ID1324,24/01/2016 14:47,Greg,Television,Y,N,110,0:05:03,5,#ERROR!
ID1321,24/01/2016 14:45,Joe,Air Conditioner,Y,Y,76,0:01:09,3,#ERROR!
ID1322,24/01/2016 14:45,Diane,Air Conditioner,Y,Y,124,0:03:09,2,#ERROR!
ID1319,24/01/2016 14:15,Diane,Air Conditioner,Y,Y,28,0:03:50,5,#ERROR!
ID1320,24/01/2016 14:15,Dan,Air Conditioner,Y,Y,46,0:04:43,1,#ERROR!
ID1317,24/01/2016 13:13,Dan,Television,Y,Y,33,0:03:06,2,#ERROR!
ID1318,24/01/2016 13:13,Joe,Air Conditioner,Y,Y,113,0:06:04,3,#ERROR!
ID1315,24/01/2016 13:00,Jim,Television,Y,Y,102,0:03:59,4,#ERROR!
ID1316,24/01/2016 13:00,Joe,Toaster,Y,Y,19,0:05:43,4,#ERROR!
ID1313,24/01/2016 12:25,Jim,Television,Y,N,61,0:00:42,5,#ERROR!
ID1314,24/01/2016 12:25,Becky,Toaster,Y,Y,51,0:06:44,3,#ERROR!
ID1311,24/01/2016 12:21,Stewart,Washing Machine,Y,Y,112,0:03:43,3,#ERROR!
ID1312,24/01/2016 12:21,Diane,Television,Y,Y,58,0:04:19,4,#ERROR!
ID1309,24/01/2016 11:42,Becky,Air Conditioner,Y,Y,41,0:03:54,4,#ERROR!
ID1310,24/01/2016 11:42,Greg,Washing Machine,Y,Y,81,0:06:19,3,#ERROR!
ID1307,24/01/2016 11:11,Dan,Washing Machine,Y,Y,61,0:03:05,3,#ERROR!
ID1308,24/01/2016 11:11,Diane,Television,Y,Y,55,0:06:30,1,#ERROR!
ID1305,24/01/2016 10:32,Joe,Fridge,Y,Y,125,0:00:31,3,#ERROR!
ID1306,24/01/2016 10:32,Becky,Washing Machine,N,N,,,,#ERROR!
ID1303,24/01/2016 10:29,Jim,Toaster,Y,Y,16,0:04:35,4,#ERROR!
ID1304,24/01/2016 10:29,Martha,Fridge,N,N,,,,#ERROR!
ID1299,24/01/2016 10:04,Martha,Television,Y,Y,72,0:05:11,5,#ERROR!
ID1300,24/01/2016 10:04,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1301,24/01/2016 10:04,Stewart,Washing Machine,Y,N,28,0:00:52,4,#ERROR!
ID1302,24/01/2016 10:04,Dan,Television,Y,Y,124,0:03:13,4,#ERROR!
ID1297,24/01/2016 10:03,Greg,Fridge,Y,Y,104,0:05:35,2,#ERROR!
ID1298,24/01/2016 10:03,Martha,Toaster,Y,Y,123,0:01:55,1,#ERROR!
ID1295,24/01/2016 9:54,Jim,Air Conditioner,Y,Y,109,0:05:47,3,#ERROR!
ID1296,24/01/2016 9:54,Greg,Toaster,N,N,,,,#ERROR!
ID1293,24/01/2016 9:24,Joe,Toaster,Y,Y,95,0:03:05,5,#ERROR!
ID1294,24/01/2016 9:24,Joe,Washing Machine,N,N,,,,#ERROR!
ID1291,24/01/2016 9:20,Joe,Air Conditioner,Y,Y,42,0:03:56,3,#ERROR!
ID1292,24/01/2016 9:20,Greg,Air Conditioner,Y,Y,86,0:01:28,1,#ERROR!
ID1289,24/01/2016 9:12,Greg,Fridge,Y,Y,21,0:00:50,1,#ERROR!
ID1290,24/01/2016 9:12,Martha,Washing Machine,Y,Y,87,0:02:11,3,#ERROR!
ID1285,24/01/2016 9:05,Dan,Toaster,N,N,,,,#ERROR!
ID1286,24/01/2016 9:05,Diane,Television,Y,Y,48,0:06:36,2,#ERROR!
ID1287,24/01/2016 9:05,Joe,Toaster,Y,Y,57,0:04:32,3,#ERROR!
ID1288,24/01/2016 9:05,Jim,Fridge,Y,N,116,0:05:09,3,#ERROR!
ID1283,23/01/2016 17:44,Greg,Washing Machine,N,N,,,,#ERROR!
ID1284,23/01/2016 17:44,Stewart,Toaster,N,N,,,,#ERROR!
ID1281,23/01/2016 17:41,Joe,Television,Y,Y,74,0:05:54,2,#ERROR!
ID1282,23/01/2016 17:41,Greg,Television,Y,Y,85,0:02:44,3,#ERROR!
ID1279,23/01/2016 17:24,Joe,Toaster,Y,Y,19,0:01:11,4,#ERROR!
ID1280,23/01/2016 17:24,Dan,Washing Machine,N,N,,,,#ERROR!
ID1277,23/01/2016 16:45,Stewart,Television,Y,Y,53,0:06:03,3,#ERROR!
ID1278,23/01/2016 16:45,Diane,Television,Y,Y,116,0:04:58,3,#ERROR!
ID1275,23/01/2016 16:37,Jim,Toaster,Y,Y,53,0:01:43,4,#ERROR!
ID1276,23/01/2016 16:37,Diane,Air Conditioner,Y,Y,12,0:05:48,3,#ERROR!
ID1273,23/01/2016 16:13,Stewart,Washing Machine,Y,N,31,0:00:31,3,#ERROR!
ID1274,23/01/2016 16:13,Greg,Television,Y,Y,56,0:01:20,2,#ERROR!
ID1271,23/01/2016 16:01,Becky,Toaster,Y,N,56,0:01:58,4,#ERROR!
ID1272,23/01/2016 16:01,Martha,Fridge,N,N,,,,#ERROR!
ID1269,23/01/2016 14:52,Dan,Air Conditioner,Y,Y,33,0:01:06,5,#ERROR!
ID1270,23/01/2016 14:52,Becky,Air Conditioner,N,N,,,,#ERROR!
ID1267,23/01/2016 14:13,Dan,Toaster,Y,Y,75,0:02:00,4,#ERROR!
ID1268,23/01/2016 14:13,Martha,Television,N,N,,,,#ERROR!
ID1265,23/01/2016 13:37,Dan,Fridge,Y,Y,29,0:01:50,5,#ERROR!
ID1266,23/01/2016 13:37,Joe,Fridge,Y,Y,10,0:06:42,5,#ERROR!
ID1263,23/01/2016 13:33,Diane,Fridge,Y,Y,44,0:03:12,5,#ERROR!
ID1264,23/01/2016 13:33,Diane,Washing Machine,Y,N,62,0:03:33,4,#ERROR!
ID1261,23/01/2016 12:54,Greg,Toaster,Y,Y,89,0:01:34,2,#ERROR!
ID1262,23/01/2016 12:54,Martha,Air Conditioner,N,N,,,,#ERROR!
ID1259,23/01/2016 12:43,Dan,Television,Y,Y,18,0:01:14,4,#ERROR!
ID1260,23/01/2016 12:43,Greg,Toaster,Y,Y,29,0:05:55,5,#ERROR!
ID1257,23/01/2016 12:14,Martha,Washing Machine,Y,Y,26,0:03:47,3,#ERROR!
ID1258,23/01/2016 12:14,Diane,Toaster,Y,Y,33,0:01:44,5,#ERROR!
ID1255,23/01/2016 11:55,Martha,Washing Machine,Y,Y,15,0:03:37,3,#ERROR!
ID1256,23/01/2016 11:55,Martha,Fridge,Y,Y,120,0:04:12,2,#ERROR!
ID1253,23/01/2016 11:44,Becky,Television,Y,Y,22,0:06:12,3,#ERROR!
ID1254,23/01/2016 11:44,Diane,Television,N,N,,,,#ERROR!
ID1251,23/01/2016 11:36,Joe,Fridge,Y,Y,74,0:01:15,3,#ERROR!
ID1252,23/01/2016 11:36,Jim,Fridge,Y,Y,18,0:01:21,3,#ERROR!
ID1249,23/01/2016 11:35,Diane,Washing Machine,Y,Y,110,0:05:03,5,#ERROR!
ID1250,23/01/2016 11:35,Stewart,Toaster,Y,Y,28,0:05:16,2,#ERROR!
ID1247,23/01/2016 11:32,Greg,Fridge,Y,N,10,0:01:01,5,#ERROR!
ID1248,23/01/2016 11:32,Joe,Fridge,Y,Y,100,0:00:42,5,#ERROR!
ID1245,23/01/2016 11:29,Jim,Air Conditioner,Y,Y,33,0:03:29,3,#ERROR!
ID1246,23/01/2016 11:29,Dan,Washing Machine,N,N,,,,#ERROR!
ID1243,23/01/2016 11:18,Joe,Television,Y,Y,84,0:01:21,5,#ERROR!
ID1244,23/01/2016 11:18,Becky,Toaster,Y,N,63,0:05:00,4,#ERROR!
ID1241,23/01/2016 11:00,Jim,Washing Machine,Y,Y,121,0:02:49,2,#ERROR!
ID1242,23/01/2016 11:00,Martha,Television,Y,Y,83,0:06:48,5,#ERROR!
ID1239,23/01/2016 10:49,Diane,Fridge,N,N,,,,#ERROR!
ID1240,23/01/2016 10:49,Dan,Air Conditioner,Y,Y,118,0:02:49,4,#ERROR!
ID1237,23/01/2016 9:57,Diane,Fridge,Y,Y,12,0:05:31,3,#ERROR!
ID1238,23/01/2016 9:57,Joe,Air Conditioner,Y,N,120,0:00:54,4,#ERROR!
ID1235,23/01/2016 9:51,Becky,Toaster,Y,N,112,0:06:18,2,#ERROR!
ID1236,23/01/2016 9:51,Dan,Television,Y,Y,53,0:05:46,4,#ERROR!
ID1233,23/01/2016 9:40,Greg,Air Conditioner,Y,Y,112,0:03:37,5,#ERROR!
ID1234,23/01/2016 9:40,Stewart,Fridge,Y,Y,116,0:02:42,3,#ERROR!
ID1231,23/01/2016 9:31,Greg,Television,Y,Y,116,0:01:13,2,#ERROR!
ID1232,23/01/2016 9:31,Martha,Fridge,Y,Y,52,0:01:27,5,#ERROR!
ID1229,22/01/2016 17:47,Jim,Toaster,Y,Y,71,0:04:01,2,#ERROR!
ID1230,22/01/2016 17:47,Becky,Television,Y,N,50,0:05:08,3,#ERROR!
ID1227,22/01/2016 17:38,Diane,Television,Y,Y,64,0:01:42,3,#ERROR!
ID1228,22/01/2016 17:38,Martha,Air Conditioner,N,N,,,,#ERROR!
ID1225,22/01/2016 17:25,Greg,Fridge,N,N,,,,#ERROR!
ID1226,22/01/2016 17:25,Greg,Toaster,Y,Y,115,0:04:12,5,#ERROR!
ID1223,22/01/2016 16:56,Greg,Television,Y,Y,72,0:04:09,5,#ERROR!
ID1224,22/01/2016 16:56,Joe,Air Conditioner,Y,N,82,0:05:02,1,#ERROR!
ID1221,22/01/2016 16:50,Becky,Washing Machine,N,N,,,,#ERROR!
ID1222,22/01/2016 16:50,Stewart,Washing Machine,Y,Y,33,0:06:09,5,#ERROR!
ID1219,22/01/2016 16:39,Greg,Fridge,N,N,,,,#ERROR!
ID1220,22/01/2016 16:39,Jim,Toaster,Y,N,35,0:05:09,5,#ERROR!
ID1217,22/01/2016 16:01,Martha,Toaster,N,N,,,,#ERROR!
ID1218,22/01/2016 16:01,Becky,Television,Y,Y,78,0:01:05,5,#ERROR!
ID1215,22/01/2016 15:56,Martha,Television,N,N,,,,#ERROR!
ID1216,22/01/2016 15:56,Martha,Fridge,N,N,,,,#ERROR!
ID1213,22/01/2016 15:30,Martha,Washing Machine,N,N,,,,#ERROR!
ID1214,22/01/2016 15:30,Jim,Television,N,N,,,,#ERROR!
ID1211,22/01/2016 14:49,Becky,Fridge,Y,N,54,0:03:15,5,#ERROR!
ID1212,22/01/2016 14:49,Greg,Toaster,Y,Y,99,0:01:00,1,#ERROR!
ID1209,22/01/2016 14:48,Stewart,Television,N,N,,,,#ERROR!
ID1210,22/01/2016 14:48,Jim,Fridge,Y,Y,15,0:04:55,4,#ERROR!
ID1207,22/01/2016 14:44,Becky,Television,Y,Y,35,0:01:10,3,#ERROR!
ID1208,22/01/2016 14:44,Diane,Fridge,Y,Y,57,0:01:21,5,#ERROR!
ID1205,22/01/2016 14:22,Stewart,Television,Y,N,94,0:03:58,4,#ERROR!
ID1206,22/01/2016 14:22,Stewart,Television,Y,Y,92,0:06:10,1,#ERROR!
ID1203,22/01/2016 14:19,Joe,Fridge,N,N,,,,#ERROR!
ID1204,22/01/2016 14:19,Dan,Toaster,Y,Y,67,0:06:42,4,#ERROR!
ID1201,22/01/2016 12:47,Stewart,Air Conditioner,N,N,,,,#ERROR!
ID1202,22/01/2016 12:47,Greg,Washing Machine,N,N,,,,#ERROR!
ID1197,22/01/2016 11:55,Greg,Toaster,Y,Y,13,0:07:00,3,#ERROR!
ID1198,22/01/2016 11:55,Jim,Fridge,Y,Y,84,0:05:34,5,#ERROR!
ID1199,22/01/2016 11:55,Dan,Fridge,Y,Y,60,0:04:46,3,#ERROR!
ID1200,22/01/2016 11:55,Dan,Fridge,Y,Y,32,0:00:35,5,#ERROR!
ID1195,22/01/2016 11:42,Greg,Air Conditioner,N,N,,,,#ERROR!
ID1196,22/01/2016 11:42,Martha,Toaster,Y,Y,39,0:05:05,4,#ERROR!
ID1193,22/01/2016 11:39,Martha,Fridge,Y,Y,77,0:05:02,5,#ERROR!
ID1194,22/01/2016 11:39,Becky,Air Conditioner,Y,Y,46,0:06:05,3,#ERROR!
ID1191,22/01/2016 10:37,Becky,Air Conditioner,N,N,,,,#ERROR!
ID1192,22/01/2016 10:37,Diane,Washing Machine,Y,N,55,0:04:40,4,#ERROR!
ID1189,22/01/2016 9:59,Becky,Air Conditioner,Y,Y,23,0:04:44,1,#ERROR!
ID1190,22/01/2016 9:59,Martha,Fridge,Y,Y,53,0:01:17,2,#ERROR!
ID1187,22/01/2016 9:48,Martha,Television,Y,Y,103,0:02:14,5,#ERROR!
ID1188,22/01/2016 9:48,Becky,Washing Machine,Y,Y,98,0:06:53,4,#ERROR!
ID1185,22/01/2016 9:24,Martha,Fridge,Y,Y,34,0:06:07,3,#ERROR!
ID1186,22/01/2016 9:24,Diane,Television,Y,Y,53,0:05:02,4,#ERROR!
ID1181,22/01/2016 9:11,Stewart,Air Conditioner,N,N,,,,#ERROR!
ID1182,22/01/2016 9:11,Diane,Fridge,Y,Y,20,0:01:08,3,#ERROR!
ID1183,22/01/2016 9:11,Diane,Air Conditioner,Y,Y,112,0:03:37,1,#ERROR!
